These are the feature importances generated by XGBoost for each product


Feature importance for ind_cco_fin_ult1 

"Feature" "Gain" "Cover" "Frequence"
"67" "ind_nomina_ult1_2month_ago" 0.000308953251945656 0.000696434507463102 0.00287986834887548
"68" "birthday.month.Oct" 0.000298527398451575 0.000605282263049964 0.00466264399341744
"69" "ind_ctma_fin_ult1_1month_ago" 0.000294088379545948 0.000949917207967403 0.003976961053209
"70" "birthday.month.Feb" 0.000284939228433993 0.000435226700653575 0.00370268787712562
"71" "ind_ctju_fin_ult1_4month_ago" 0.000278679202161271 0.00290972991313593 0.000959956116291827
"72" "birthday.month.Jun" 0.000278102142475584 0.000504143155279795 0.00507405375754251
"73" "ind_cno_fin_ult1_6month_ago" 0.000275622820770137 0.000178643372637342 0.00233132199670872
"74" "birthday.month.Sep" 0.000253065689773141 0.000569193974286848 0.00438837081733406
"75" "ind_ecue_fin_ult1_2month_ago" 0.000241189778238715 0.000320946968414523 0.00205704882062534
"76" "ind_recibo_ult1_7month_ago" 0.000240526928914242 0.000309053502123662 0.00342841470104224
"77" "ind_cco_fin_ult1_10month_ago" 0.000235849624243101 0.000318419131625713 0.00287986834887548
"78" "tiprel_1mes.P" 0.000227855427497671 0.000417197195206137 0.00178277564454196
"79" "nomprov.PONTEVEDRA" 0.000224841940405684 0.000343564071554981 0.00123422929237521
"80" "ind_tjcr_fin_ult1_2month_ago" 0.000213234472528586 0.000563338389510492 0.00246845858475041
"81" "ind_deco_fin_ult1_9month_ago" 0.000208740203476574 0.000971999352932271 0.000685682940208448
"82" "birthday.month.Jul" 0.000207758902088972 0.000347289079374667 0.00425123422929238
"83" "nomprov.BARCELONA" 0.000207619348647194 0.000564524017983848 0.00205704882062534
"84" "ind_ecue_fin_ult1_10month_ago" 0.000200554935909463 0.000477236354808267 0.00205704882062534
"85" "birthday.month.Apr" 0.000196065419306484 0.000278046256083025 0.00370268787712562
"86" "ind_recibo_ult1_3month_ago" 0.000194094522610293 0.000275109416599871 0.00246845858475041
"87" "ind_deco_fin_ult1_2month_ago" 0.00019332719707987 0.000906964538826015 0.00315414152495886
"88" "indext.N" 0.000181361412234115 0.000494428803665789 0.00233132199670872
"89" "birthday.month.Aug" 0.000178790410142166 0.000257918305888931 0.00246845858475041
"90" "ind_ctju_fin_ult1_2month_ago" 0.000176802289290877 0.000939070375390008 0.000274273176083379
"91" "segmento.change" 0.000175603935986392 0.000655700140384739 0.00205704882062534
